Collection,Strain,organism,rep,endotrt,salttrt,ppt,m1,h1,plantdate,harvestdate,growdays,m2tot,m2root,m2shoot,h2,net change in weight,net change in height,status at harvest,weight change per growth day,height change per growth day
M1,10656,bacteria,5,C,S,,0.19,5.6,10/30/2020,11/27/2020,28,0.53,0.18,0.34,8.9,0.34,3.3,,0.01214285714,0.1178571429
M1,10656,bacteria,7,C,S,,0.22,6.5,10/30/2020,11/27/2020,28,0.57,0.15,0.4,9.8,0.35,3.3,,0.0125,0.1178571429
M1,10656,bacteria,8,C,F,,0.36,8.3,10/30/2020,11/27/2020,28,1.22,0.3,0.9,16.4,0.86,8.1,,0.03071428571,0.2892857143
M1,10656,bacteria,9,C,S,,0.28,5.4,10/30/2020,11/27/2020,28,0.8,0.16,0.62,12.4,0.52,7,,0.01857142857,0.25
M1,10656,bacteria,10,C,F,,0.28,7,10/30/2020,11/27/2020,28,0.16,0.01,0.13,5.7,-0.12,-1.3,"apical dead, base living",-0.004285714286,-0.04642857143
M1,10656,bacteria,11,C,S,,0.22,7.2,10/30/2020,11/27/2020,28,0.74,0.23,0.51,9.7,0.52,2.5,,0.01857142857,0.08928571429
M1,10656,bacteria,12,C,F,,0.3,8.5,10/30/2020,11/27/2020,28,1,0.34,0.67,16.2,0.7,7.7,,0.025,0.275
M1,10656,bacteria,13,E,S,,0.25,5.1,10/30/2020,11/27/2020,28,0.28,0.08,0.2,7.6,0.03,2.5,,0.001071428571,0.08928571429
M1,10656,bacteria,1,E,F,,0.37,8.9,10/30/2020,11/27/2020,28,1.13,0.36,0.78,17.5,0.76,8.6,,0.02714285714,0.3071428571
M1,10656,bacteria,3,E,F,,0.36,11.2,10/30/2020,11/27/2020,28,1.14,0.4,0.74,17.6,0.78,6.4,,0.02785714286,0.2285714286
M1,10656,bacteria,5,E,F,,0.32,9.6,10/30/2020,11/27/2020,28,1.14,0.23,0.91,20.2,0.82,10.6,,0.02928571429,0.3785714286
M1,10656,bacteria,7,E,F,,0.3,9.5,10/30/2020,11/27/2020,28,1.21,0.39,0.82,18.5,0.91,9,,0.0325,0.3214285714
M1,10656,bacteria,8,E,S,,0.4,8.1,10/30/2020,11/27/2020,28,1.17,0.46,0.71,13.1,0.77,5,,0.0275,0.1785714286
M1,10656,bacteria,9,E,S,,0.33,10.6,10/30/2020,11/27/2020,28,0.88,0.3,0.56,17.6,0.55,7,,0.01964285714,0.25
M1,10656,bacteria,10,E,S,,0.27,7.6,10/30/2020,11/27/2020,28,0.24,0.14,0.1,8.8,-0.03,1.2,,-0.001071428571,0.04285714286
M1,10656,bacteria,11,E,S,,0.38,9,10/30/2020,11/27/2020,28,0.93,0.32,0.61,12.3,0.55,3.3,,0.01964285714,0.1178571429
M1,10656,bacteria,12,E,S,,0.24,6.6,10/30/2020,11/27/2020,28,0.71,0.26,0.45,10.4,0.47,3.8,,0.01678571429,0.1357142857
M1,10656,bacteria,13,E,F,,0.26,8.7,10/30/2020,11/27/2020,28,0.97,0.27,0.7,17.4,0.71,8.7,,0.02535714286,0.3107142857
M1,10709,bacteria,1,C,S,,0.36,10.3,11/13/2020,12/11/2020,28,0.89,0.32,0.57,12.5,0.53,2.2,,0.01892857143,0.07857142857
M1,10709,bacteria,2,C,F,,0.56,10.2,11/13/2020,12/11/2020,28,1.31,0.48,0.83,15.1,0.75,4.9,,0.02678571429,0.175
M1,10709,bacteria,4,C,F,,0.5,9.5,11/13/2020,12/11/2020,28,1.48,0.54,0.93,15.5,0.98,6,,0.035,0.2142857143
M1,10709,bacteria,5,C,S,,0.37,9.4,11/13/2020,12/11/2020,28,1.01,0.45,0.55,12.2,0.64,2.8,,0.02285714286,0.1
M1,10709,bacteria,6,C,F,,0.29,8.6,11/13/2020,12/11/2020,28,0.92,0.4,0.52,11.9,0.63,3.3,,0.0225,0.1178571429
M1,10709,bacteria,7,C,S,,0.31,8.8,11/13/2020,12/11/2020,28,0.88,0.32,0.56,11.4,0.57,2.6,,0.02035714286,0.09285714286
M1,10709,bacteria,8,C,F,,0.26,7.8,11/13/2020,12/11/2020,28,0.88,0.33,0.55,11.5,0.62,3.7,,0.02214285714,0.1321428571
M1,10709,bacteria,11,C,S,,0.26,8.2,11/13/2020,12/11/2020,28,0.72,0.24,0.49,13.5,0.46,5.3,,0.01642857143,0.1892857143
M1,10709,bacteria,12,C,F,,0.33,9.1,11/13/2020,12/11/2020,28,1.01,0.39,0.61,14.6,0.68,5.5,,0.02428571429,0.1964285714
