Collection,Strain,organism,rep,endotrt,salttrt,ppt,m1,h1,plantdate,harvestdate,growdays,m2tot,m2root,m2shoot,h2,net change in weight,net change in height,status at harvest,weight change per growth day,height change per growth day
S2,812,bacteria,8,E,S,,0.32,9.3,9/25/2020,10/23/2020,28,0.7,0.19,0.51,14.5,0.38,5.2,DEAD,0.01357142857,0.1857142857
S2,812,bacteria,9,E,F,,0.25,7,9/25/2020,10/23/2020,28,0.66,0.16,0.51,9,0.41,2,,0.01464285714,0.07142857143
S2,812,bacteria,10,E,S,,0.27,8.8,9/25/2020,10/23/2020,28,0.18,0.7,0.11,9.1,-0.09,0.3,DEAD,-0.003214285714,0.01071428571
S2,812,bacteria,11,E,F,,0.33,10.3,9/25/2020,10/23/2020,28,0.91,0.26,0.64,14.8,0.58,4.5,,0.02071428571,0.1607142857
M1,10998,bacteria,1,C,S,,0.36,9.8,10/2/2020,10/30/2020,28,0.85,0.35,0.51,12.4,0.49,2.6,,0.0175,0.09285714286
M1,10998,bacteria,2,C,F,,0.24,7.8,10/2/2020,10/30/2020,28,0.84,0.31,0.53,13,0.6,5.2,,0.02142857143,0.1857142857
M1,10998,bacteria,3,C,S,,0.34,10.2,10/2/2020,10/30/2020,28,0.7,0.23,0.48,11.7,0.36,1.5,,0.01285714286,0.05357142857
M1,10998,bacteria,4,C,F,,0.32,8.7,10/2/2020,10/30/2020,28,1.04,0.32,0.72,14,0.72,5.3,,0.02571428571,0.1892857143
M1,10998,bacteria,5,C,S,,0.33,8.5,10/2/2020,10/30/2020,28,1.16,0.4,0.76,12.3,0.83,3.8,,0.02964285714,0.1357142857
M1,10998,bacteria,6,C,F,,0.22,7.6,10/2/2020,10/30/2020,28,0.77,0.31,0.46,12.5,0.55,4.9,,0.01964285714,0.175
M1,10998,bacteria,7,C,S,,0.34,8.2,10/2/2020,10/30/2020,28,0.92,0.42,0.5,11.1,0.58,2.9,,0.02071428571,0.1035714286
M1,10998,bacteria,8,C,F,,0.29,9,10/2/2020,10/30/2020,28,1.02,0.36,0.63,16,0.73,7,,0.02607142857,0.25
M1,10998,bacteria,9,C,S,,0.24,9.7,10/2/2020,10/30/2020,28,0.81,0.3,0.52,13,0.57,3.3,,0.02035714286,0.1178571429
